"Product Code","Call No","Closed Date","Chargeable","Days With APT","Project Work"
"VISAGE","167391","11 May 2015","U","-1",""
"VISAGE","168357","7 Oct 2015","U","-1",""
"SP","168539","28 Aug 2015","U","-1",""
"VISAGE","162131","18 Aug 2015","R","0",""
"SHOP","163007","10 Jun 2015","R","0",""
"VISAGE","164343","7 Oct 2015","N","0",""
"MS","164522","21 Jan 2015","N","0","N"
"MS","164605","18 Jun 2015","U","0",""
"MS","164638","4 Mar 2015","U","0",""
"MS","164711","28 Apr 2015","N","0","N"
"MS","164743","18 Jun 2015","N","0","N"
"MS","164776","6 Oct 2015","N","0","N"
"VISAGE","164899","10 Jun 2015","R","0",""
"MS","164901","28 Apr 2015","N","0","N"
"MS","165019","10 Jun 2015","N","0","N"
"MS","165063","31 Mar 2015","N","0","N"
"VISAGE","165066","19 Jun 2015","N","0",""
"MS","165125","21 Jan 2015","N","0","N"
"MS","165134","7 Jan 2015","N","0","N"
"MS","165143","7 Jan 2015","N","0","N"
"MS","165173","28 Jan 2015","N","0","N"
"MS","165189","7 Jan 2015","N","0","N"
"VISAGE","165190","15 Jan 2015","Y","0","Y"
"MS","165191","13 Jan 2015","N","0","N"
"MS","165198","10 Jun 2015","N","0","N"
"MS.WEB","165214","21 Jan 2015","U","0",""
"MS","165233","4 Mar 2015","N","0","N"
"MS","165246","21 Jan 2015","N","0","N"
"MS","165289","14 Jan 2015","N","0","N"
"MS","165344","15 Feb 2015","U","0",""
"MS","165384","28 Jan 2015","N","0","N"
"MS.WEB","165387","20 Feb 2015","N","0","N"
"MS","165389","10 Jun 2015","N","0","N"
"INFORMER","165428","23 Jan 2015","N","0","N"
"MS","165431","1 Feb 2015","N","0","N"
"VISAGE","165441","21 Jan 2015","U","0",""
"MS","165446","11 Feb 2015","N","0","N"
"MS","165447","4 Feb 2015","N","0","N"
"MS","165460","4 Feb 2015","N","0","N"
"MS","165462","10 Jun 2015","N","0","N"
"MS","165473","28 Apr 2015","N","0","N"
"MS","165489","6 Jan 2015","N","0","N"
"MS","165490","4 Feb 2015","R","0","N"
"MS","165491","4 Feb 2015","R","0","N"
"MS","165493","12 Jan 2015","N","0","N"
"MS","165502","21 Jan 2015","N","0","N"
"MS","165505","6 Jan 2015","N","0","N"
"MS","165506","7 Jan 2015","N","0","N"
"MS","165507","13 Feb 2015","N","0","N"
"MS","165509","2 Jan 2015","N","0","N"
"MS","165510","2 Jan 2015","N","0","N"
"MS","165512","28 Jan 2015","N","0","N"
"MS","165524","5 Jan 2015","N","0","N"
"MS","165526","5 Jan 2015","N","0","N"
"MS","165528","8 Jan 2015","N","0","N"
"MS","165533","6 Jan 2015","N","0","N"
"MS.WEB","165535","6 Jan 2015","U","0",""
"INFORMER","165540","6 Jan 2015","U","0",""
"MS","165542","6 Jan 2015","N","0","N"
"INFORMER","165543","8 Jan 2015","U","0",""
"MS","165546","8 Jan 2015","N","0","N"
"MS","165549","6 Jan 2015","N","0","N"
"MS","165550","6 Jan 2015","N","0","N"
"MS.WEB","165558","19 Jan 2015","U","0",""
"INFORMER","165561","7 Jan 2015","U","0",""
"MS","165563","8 Jan 2015","U","0",""
"MS","165565","13 Jan 2015","N","0","N"
"MS","165566","12 Feb 2015","N","0","N"
"MS","165567","25 Feb 2015","N","0","N"
"MS","165583","9 Jan 2015","U","0",""
"UNIVERSE","165593","9 Jan 2015","U","0","N"
"MS","165595","20 Jan 2015","N","0","N"
"MS","165602","9 Jan 2015","N","0","N"
"MS","165603","9 Jan 2015","N","0","N"
"MS","165605","19 Jan 2015","U","0",""
"MS","165608","15 Jan 2015","N","0","N"
"MS","165609","12 Jan 2015","U","0",""
"MS","165612","13 Jan 2015","N","0","N"
"MS","165613","13 Jan 2015","N","0","N"
"MS","165615","17 Feb 2015","N","0","N"
"MS","165616","13 Jan 2015","U","0",""
"MS","165629","21 Jan 2015","N","0","N"
"MS","165630","14 Jan 2015","N","0","N"
"MS.WEB","165631","13 Jan 2015","U","0",""
"MS","165632","12 Jan 2015","N","0","N"
"MS","165635","12 Jan 2015","U","0",""
"MS","165638","13 Jan 2015","U","0","N"
"MS","165644","13 Jan 2015","N","0","N"
"MS","165649","4 Mar 2015","U","0",""
"MS","165650","12 Jan 2015","U","0",""
"MS","165652","11 Feb 2015","N","0","N"
"MS","165661","11 Feb 2015","N","0","N"
"MS","165663","14 Jan 2015","N","0","N"
"UNIVERSE","165667","13 Jan 2015","U","0",""
"Universe","165668","13 Jan 2015","U","0",""
"MS","165669","13 Jan 2015","U","0",""
"UNIVERSE","165670","13 Jan 2015","U","0",""
"Universe","165671","13 Jan 2015","U","0",""
"UNIVERSE","165672","13 Jan 2015","U","0",""
"MS","165673","13 Jan 2015","U","0",""
"MS","165678","12 Feb 2015","N","0","N"
"MS","165679","14 Jan 2015","N","0","N"
"VISAGE","165681","15 Jan 2015","U","0",""
"MS","165682","14 Jan 2015","U","0",""
"MS","165686","14 Jan 2015","U","0",""
"CONS","165694","15 Jan 2015","Y","0",""
"MS","165699","4 Mar 2015","U","0",""
"MS","165702","16 Jan 2015","N","0","N"
"MS.WEB","165704","16 Jan 2015","U","0",""
"MS","165707","21 Jan 2015","N","0","N"
"INFORMER_EVAL","165708","16 Jan 2015","U","0",""
"MS","165710","19 Jan 2015","N","0","N"
"MS","165712","23 Jan 2015","U","0",""
"MS","165723","19 Jan 2015","U","0",""
"MS","165728","19 Jan 2015","N","0","N"
"MS","165731","21 Jan 2015","N","0","N"
"MS","165733","11 Mar 2015","U","0",""
"MS","165734","20 Jan 2015","N","0","N"
"MS","165737","20 Jan 2015","N","0","N"
"INFORMER","165738","11 Mar 2015","U","0",""
"MS","165739","21 Jan 2015","N","0","N"
"MS","165743","4 Mar 2015","N","0","N"
"MS","165762","11 Mar 2015","N","0","N"
"MS","165764","12 Feb 2015","U","0",""
"MS","165765","23 Jan 2015","N","0","N"
"MS","165770","25 Feb 2015","N","0","N"
"MS","165776","23 Jan 2015","N","0","N"
"MS","165780","23 Jan 2015","U","0",""
"MS","165782","26 Jan 2015","N","0","N"
"MS","165786","17 Feb 2015","N","0","N"
