"Call No","Closed Date","Chargeable","Days With APT","Project Work","Quote Time","Time Hours Estimated","Time Hours Total"
"158452","2 Jun 2015","N","228","N","0","2.00","4.91"
"158689","14 Apr 2015","N","562","N","0","0.00","0.81"
"158721","7 Dec 2015","U","732","Y","0","0.00","572.14"
"158792","14 Jan 2015","Y","495","N","0","0.00","1.47"
"158863","11 Feb 2015","R","119","N","0","2.00","3.72"
"158878","9 Jan 2015","Y","374","Y","0","0.00","11.30"
"158978","18 Feb 2015","Y","510","","8","0.00","6.06"
"158982","23 Mar 2015","Y","332","Y","0","2.00","391.43"
"159086","10 Feb 2015","N","64","N","0","0.00","0.00"
"159159","13 Feb 2015","N","498","Y","0","0.00","0.00"
"159160","27 Aug 2015","Y","618","Y","0","0.00","0.00"
"159168","24 Jun 2015","N","591","Y","0","0.00","0.00"
"159302","6 May 2015","N","545","","0","0.00","0.16"
"159318","9 Jan 2015","Y","298","N","8","0.00","23.68"
"159377","14 Jan 2015","N","462","N","0","0.00","4.80"
"159461","9 Jan 2015","U","47","","0","0.00","4.91"
"159494","18 Feb 2015","N","479","N","0","0.00","78.89"
"159638","10 Nov 2015","N","644","N","0","15.00","27.35"
"159641","5 Jun 2015","N","546","Y","0","0.00","0.00"
"159809","9 Feb 2015","N","452","Y","0","0.00","0.00"
"159878","18 Feb 2015","U","444","","0","0.00","1.25"
"159888","21 Oct 2015","U","506","","0","0.00","31.00"
"160066","16 Nov 2015","Y","634","Y","0","0.00","0.00"
"160067","5 Jun 2015","U","518","Y","0","0.00","797.58"
"160068","9 Sep 2015","U","586","Y","0","0.00","540.00"
"160069","5 Oct 2015","U","604","Y","0","0.00","25.50"
"160074","9 Nov 2015","N","324","N","0","0.00","11.58"
"160103","24 Sep 2015","Y","594","Y","0","0.00","0.00"
"160105","22 Jul 2015","R","548","Y","0","0.00","0.00"
"160249","12 Feb 2015","Y","51","N","1","1.00","1.91"
"160251","4 Feb 2015","R","387","Y","0","0.00","0.00"
"160252","4 Feb 2015","R","112","Y","0","0.00","0.00"
"160383","30 Dec 2015","U","644","","0","0.00","4.25"
"160399","16 Mar 2015","Y","371","","38","0.00","76.76"
"160548","13 May 2015","Y","15","N","2","0.00","1.75"
