"Call No","Taken Date","Closed Date","Closed Year","Days With APT","Days With Customer","Total Days","Chargeable","Project Work","Quote Time","Quote Amount","Time Hours Estimated","Time Hours Total","Net Time"
"158258","2013-01-09","2013-10-23","2013","170","35","205","N","N","0","0","0.00","0.74","-1"
"158259","2013-01-09","2013-02-22","2013","31","1","32","N","N","0","0","0.00","3.31","-3"
"158260","2013-01-09","2013-01-10","2013","1","0","1","N","N","0","0","0.00","0.33","-0"
"158261","2013-01-09","2013-01-14","2013","0","3","3","N","N","0","0","0.00","1.16","-1"
"158262","2013-01-10","2013-02-20","2013","1","28","29","U","","0","0","0.00","1.08","-1"
"158263","2013-01-10","2013-01-11","2013","0","1","1","U","","0","0","0.00","0.41","-0"
"158264","2013-01-10","2013-01-15","2013","3","0","3","N","N","0","0","0.00","3.50","-4"
"158265","2013-01-10","2013-05-15","2013","87","2","89","N","N","0","0","0.00","1.63","-2"
"158266","2013-01-10","2013-01-10","2013","0","0","0","N","N","0","0","0.00","0.25","-0"
"158267","2013-01-10","2013-02-12","2013","20","3","23","Y","","3","330","0.00","2.23","-2"
"158268","2013-01-10","2013-02-25","2013","21","11","32","Y","","2","220","0.00","1.39","-1"
"158269","2013-01-10","2013-01-24","2013","3","7","10","N","N","0","0","0.00","0.58","-1"
"158270","2013-01-10","2013-02-21","2013","29","1","30","Y","","4","695","0.00","0.16","-0"
"158271","2013-01-10","2013-01-11","2013","0","1","1","N","N","0","0","0.00","0.58","-1"
"158272","2013-01-10","2013-01-14","2013","2","0","2","N","N","0","0","0.00","0.32","-0"
"158273","2013-01-10","2013-01-15","2013","3","0","3","N","N","0","0","0.00","1.74","-2"
"158274","2013-01-10","2013-01-11","2013","1","0","1","U","","0","0","0.00","0.91","-1"
"158275","2013-01-10","2013-01-28","2013","3","9","12","N","N","0","0","0.00","0.25","-0"
"158276","2013-01-10","2014-02-10","2014","282","0","282","N","N","0","0","0.00","227.34","-227"
"158277","2013-01-10","2013-03-27","2013","54","0","54","N","N","0","0","0.00","7.29","-7"
"158278","2013-01-10","2013-01-10","2013","0","0","0","N","N","0","0","0.00","0.00","0"
"158279","2013-01-11","2013-03-18","2013","23","23","46","Y","N","1","100","0.00","1.23","-1"
"158280","2013-01-11","2013-02-27","2013","0","33","33","N","N","0","0","0.00","0.41","-0"
"158281","2013-01-11","2013-01-22","2013","7","0","7","U","","0","0","0.00","0.90","-1"
"158282","2013-01-11","2013-01-16","2013","2","1","3","N","N","0","0","0.00","3.57","-4"
"158283","2013-01-11","2013-01-15","2013","0","2","2","U","","0","0","0.00","0.41","-0"
"158284","2013-01-11","2013-01-11","2013","0","0","0","N","N","0","0","0.00","0.33","-0"
"158285","2013-01-11","2013-02-07","2013","17","2","19","Y","N","1","110","0.00","1.88","-2"
"158286","2013-01-11","2013-03-04","2013","0","36","36","U","","0","0","0.00","0.65","-1"
"158287","2013-01-11","2013-01-14","2013","1","0","1","N","N","0","0","0.00","0.74","-1"
"158288","2013-01-11","2013-01-11","2013","0","0","0","N","N","0","0","0.00","0.57","-1"
"158289","2013-01-14","2013-01-14","2013","0","0","0","U","","0","0","0.00","0.50","-0"
"158290","2013-01-14","2013-05-22","2013","4","88","92","N","N","0","0","0.00","2.65","-3"
"158291","2013-01-14","2013-01-15","2013","1","0","1","N","N","0","0","0.00","0.74","-1"
"158292","2013-01-14","2013-02-12","2013","15","6","21","N","N","0","0","0.00","0.25","-0"
"158293","2013-01-14","2013-03-15","2013","25","19","44","N","N","0","0","0.00","2.08","-2"
"158294","2013-01-14","2013-02-06","2013","0","17","17","N","N","0","0","0.00","1.33","-1"
"158299","2013-01-14","2013-06-18","2013","111","0","111","Y","N","0","0","0.00","1.21","-1"
