"Call No","Taken Date","Closed Date","Closed Year","Days With APT","Days With Customer","Total Days","Chargeable","Project Work","Quote Time","Time Hours Estimated","Time Hours Total"
"158258","9 Jan 2013","23 Oct 2013","2013","170","35","205","N","N","0","0.00","0.74"
"158259","9 Jan 2013","22 Feb 2013","2013","31","1","32","N","N","0","0.00","3.31"
"158260","9 Jan 2013","10 Jan 2013","2013","1","0","1","N","N","0","0.00","0.33"
"158261","9 Jan 2013","14 Jan 2013","2013","0","3","3","N","N","0","0.00","1.16"
"158262","10 Jan 2013","20 Feb 2013","2013","1","28","29","U","","0","0.00","1.08"
"158263","10 Jan 2013","11 Jan 2013","2013","0","1","1","U","","0","0.00","0.41"
"158264","10 Jan 2013","15 Jan 2013","2013","3","0","3","N","N","0","0.00","3.50"
"158265","10 Jan 2013","15 May 2013","2013","87","2","89","N","N","0","0.00","1.63"
"158266","10 Jan 2013","10 Jan 2013","2013","0","0","0","N","N","0","0.00","0.25"
"158267","10 Jan 2013","12 Feb 2013","2013","20","3","23","Y","","3","0.00","2.23"
"158268","10 Jan 2013","25 Feb 2013","2013","21","11","32","Y","","2","0.00","1.39"
"158269","10 Jan 2013","24 Jan 2013","2013","3","7","10","N","N","0","0.00","0.58"
"158270","10 Jan 2013","21 Feb 2013","2013","29","1","30","Y","","4","0.00","0.16"
"158271","10 Jan 2013","11 Jan 2013","2013","0","1","1","N","N","0","0.00","0.58"
"158272","10 Jan 2013","14 Jan 2013","2013","2","0","2","N","N","0","0.00","0.32"
"158273","10 Jan 2013","15 Jan 2013","2013","3","0","3","N","N","0","0.00","1.74"
"158274","10 Jan 2013","11 Jan 2013","2013","1","0","1","U","","0","0.00","0.91"
"158275","10 Jan 2013","28 Jan 2013","2013","3","9","12","N","N","0","0.00","0.25"
"158276","10 Jan 2013","10 Feb 2014","2014","282","0","282","N","N","0","0.00","227.34"
"158277","10 Jan 2013","27 Mar 2013","2013","54","0","54","N","N","0","0.00","7.29"
"158278","10 Jan 2013","10 Jan 2013","2013","0","0","0","N","N","0","0.00","0.00"
"158279","11 Jan 2013","18 Mar 2013","2013","23","23","46","Y","N","1","0.00","1.23"
"158280","11 Jan 2013","27 Feb 2013","2013","0","33","33","N","N","0","0.00","0.41"
"158281","11 Jan 2013","22 Jan 2013","2013","7","0","7","U","","0","0.00","0.90"
"158282","11 Jan 2013","16 Jan 2013","2013","2","1","3","N","N","0","0.00","3.57"
"158283","11 Jan 2013","15 Jan 2013","2013","0","2","2","U","","0","0.00","0.41"
"158284","11 Jan 2013","11 Jan 2013","2013","0","0","0","N","N","0","0.00","0.33"
"158285","11 Jan 2013","7 Feb 2013","2013","17","2","19","Y","N","1","0.00","1.88"
"158286","11 Jan 2013","4 Mar 2013","2013","0","36","36","U","","0","0.00","0.65"
"158287","11 Jan 2013","14 Jan 2013","2013","1","0","1","N","N","0","0.00","0.74"
"158288","11 Jan 2013","11 Jan 2013","2013","0","0","0","N","N","0","0.00","0.57"
"158289","14 Jan 2013","14 Jan 2013","2013","0","0","0","U","","0","0.00","0.50"
"158290","14 Jan 2013","22 May 2013","2013","4","88","92","N","N","0","0.00","2.65"
"158291","14 Jan 2013","15 Jan 2013","2013","1","0","1","N","N","0","0.00","0.74"
"158292","14 Jan 2013","12 Feb 2013","2013","15","6","21","N","N","0","0.00","0.25"
"158293","14 Jan 2013","15 Mar 2013","2013","25","19","44","N","N","0","0.00","2.08"
"158294","14 Jan 2013","6 Feb 2013","2013","0","17","17","N","N","0","0.00","1.33"
"158299","14 Jan 2013","18 Jun 2013","2013","111","0","111","Y","N","0","0.00","1.21"
"158300","14 Jan 2013","14 Jan 2013","2013","0","0","0","R","N","1","0.00","0.00"
"158301","14 Jan 2013","24 Apr 2013","2013","39","33","72","N","N","0","0.00","5.08"
"158302","14 Jan 2013","16 Jan 2013","2013","2","0","2","R","N","1","0.00","0.25"
"158303","14 Jan 2013","24 Jan 2013","2013","8","0","8","Y","N","1","0.00","1.41"
"158304","14 Jan 2013","14 Jan 2013","2013","0","0","0","U","","0","0.00","0.82"
"158305","14 Jan 2013","7 Feb 2013","2013","17","1","18","Y","N","2","0.00","2.82"
"158306","14 Jan 2013","27 Feb 2013","2013","0","32","32","N","","0","0.00","0.00"
"158307","14 Jan 2013","23 Jan 2013","2013","7","0","7","N","N","0","0.00","1.07"
"158308","14 Jan 2013","15 Jan 2013","2013","1","0","1","N","N","0","0.00","3.99"
"158309","14 Jan 2013","11 Mar 2013","2013","2","38","40","R","","1","0.00","0.99"
"158310","14 Jan 2013","15 Jan 2013","2013","0","1","1","U","","0","0.00","0.16"
"158311","14 Jan 2013","22 Jan 2013","2013","6","0","6","U","","0","0.00","0.00"
"158312","15 Jan 2013","27 Mar 2013","2013","32","19","51","U","","0","0.00","1.40"
"158313","15 Jan 2013","15 Jan 2013","2013","0","0","0","N","N","0","0.00","0.33"
"158314","15 Jan 2013","10 Apr 2013","2013","27","34","61","N","N","0","0.00","1.32"
"158315","15 Jan 2013","15 Jan 2013","2013","0","0","0","N","N","0","0.00","0.50"
"158316","15 Jan 2013","17 Jan 2013","2013","0","2","2","U","","0","0.00","0.66"
"158317","15 Jan 2013","28 Jan 2013","2013","0","9","9","N","N","0","0.00","0.08"
"158318","15 Jan 2013","15 Jan 2013","2013","0","0","0","N","N","0","0.00","0.08"
"158319","15 Jan 2013","15 Jan 2013","2013","0","0","0","N","N","0","0.00","0.25"
"158320","15 Jan 2013","13 Mar 2013","2013","6","35","41","N","N","0","0.00","1.57"
"158321","15 Jan 2013","29 Jan 2013","2013","3","7","10","Y","N","0","0.00","0.33"
"158322","15 Jan 2013","17 Jan 2013","2013","2","0","2","N","N","0","0.00","1.07"
"158323","15 Jan 2013","6 Mar 2013","2013","20","16","36","N","N","0","0.00","0.90"
"158324","15 Jan 2013","6 Feb 2013","2013","15","1","16","N","N","0","0.00","0.74"
"158325","15 Jan 2013","3 Apr 2013","2013","23","33","56","N","N","0","0.00","1.25"
"158326","15 Jan 2013","28 Jan 2013","2013","9","0","9","N","N","0","0.00","0.08"
"158327","15 Jan 2013","15 Jan 2013","2013","0","0","0","U","","0","0.00","0.33"
"158328","15 Jan 2013","17 Jan 2013","2013","2","0","2","Y","N","1","0.00","0.00"
"158329","15 Jan 2013","17 Jan 2013","2013","2","0","2","N","N","0","0.00","1.65"
"158330","15 Jan 2013","24 Jan 2013","2013","3","4","7","Y","N","3","0.00","2.00"
"158331","16 Jan 2013","28 Aug 2013","2013","148","12","160","Y","","0","0.00","127.19"
"158332","16 Jan 2013","16 Jan 2013","2013","0","0","0","N","","0","0.00","0.58"
"158333","16 Jan 2013","24 Jan 2013","2013","6","0","6","Y","","0","0.00","0.00"
"158334","16 Jan 2013","24 Jan 2013","2013","2","4","6","U","","0","0.00","0.33"
"158335","16 Jan 2013","14 Mar 2013","2013","19","22","41","Y","N","1","0.00","2.63"
"158336","16 Jan 2013","20 Feb 2013","2013","0","25","25","N","N","0","0.00","1.00"
"158337","16 Jan 2013","16 Jan 2013","2013","0","0","0","N","N","0","0.00","0.33"
"158338","16 Jan 2013","15 Feb 2013","2013","22","0","22","U","","0","0.00","1.74"
"158339","16 Jan 2013","17 Jan 2013","2013","1","0","1","N","N","0","0.00","0.40"
"158340","16 Jan 2013","19 Apr 2013","2013","32","35","67","Y","N","9","0.00","7.37"
"158341","16 Jan 2013","24 Jan 2013","2013","6","0","6","Y","N","1","0.00","38.79"
"158342","16 Jan 2013","18 Jan 2013","2013","0","2","2","N","N","0","0.00","0.25"
"158343","16 Jan 2013","21 Jan 2013","2013","0","3","3","U","","0","0.00","0.58"
"158344","16 Jan 2013","11 Feb 2013","2013","3","15","18","R","N","0","0.00","2.66"
"158345","16 Jan 2013","21 Jan 2013","2013","0","3","3","U","","0","0.00","1.08"
"158346","16 Jan 2013","27 Jan 2014","2014","198","70","268","Y","N","0","0.00","7.75"
"158347","16 Jan 2013","17 Jan 2013","2013","0","1","1","N","N","0","0.00","0.41"
"158348","17 Jan 2013","7 Mar 2013","2013","24","11","35","R","","1","0.00","1.05"
"158349","17 Jan 2013","21 Mar 2013","2013","3","42","45","N","","0","0.00","2.99"
"158350","17 Jan 2013","28 Feb 2013","2013","2","28","30","U","","0","0.00","3.74"
"158351","17 Jan 2013","31 Jan 2013","2013","0","10","10","N","N","0","0.00","0.33"
"158352","17 Jan 2013","21 Jan 2013","2013","1","1","2","U","","0","0.00","1.16"
"158353","17 Jan 2013","27 Mar 2013","2013","16","33","49","U","","0","0.00","0.99"
"158354","17 Jan 2013","25 Sep 2013","2013","157","22","179","U","","0","0.00","2.13"
"158355","17 Jan 2013","17 Jan 2013","2013","0","0","0","U","","0","0.00","0.00"
"158356","17 Jan 2013","16 Apr 2013","2013","49","14","63","U","","0","0.00","3.64"
"158357","17 Jan 2013","12 Feb 2013","2013","15","3","18","Y","N","1","0.00","4.07"
"158358","17 Jan 2013","14 Apr 2014","2014","322","0","322","R","N","0","0.00","0.00"
"158359","17 Jan 2013","16 Sep 2013","2013","172","0","172","R","N","0","0.00","0.00"
